"","latitud","id_old","url","latitud_dec","altitud","capital","num_hab","zona_comarcal","destacada","nombre","longitud_dec","id","longitud"
"5978","40º30'24.177672""","37518","san-esteban-de-la-sierra-id37284","40.50671602","619","San Esteban de la Sierra","343","673703","0","San Esteban de la Sierra","-5.90605414","37284","-5º54'21.794904"""
"5979","40º44'45.895488""","05585","san-esteban-de-los-patos-id05206","40.74608208","1117","San Esteban de los Patos","33","670502","0","San Esteban de los Patos","-4.62473304","05206","-4º37'29.038944"""
"5980","41º56'11.995728""","49525","san-esteban-del-molar-id49188","41.93666548","730","San Esteban del Molar","137","674902","0","San Esteban del Molar","-5.55159844","49188","-5º33'5.754384"""
"5981","40º16'32.590416""","05591","san-esteban-del-valle-id05207","40.27571956","806","San Esteban del Valle","816","670503","0","San Esteban del Valle","-4.97954984","05207","-4º58'46.379424"""
"5982","41º56'14.43246""","42685","san-felices-id42163","41.93734235","938","San Felices","55","674201","0","San Felices","-2.02695340","42163","-2º1'37.03224"""
"5983","43º16'29.797284""","39340","san-felices-de-buelna-rivero-id39069","43.27494369","109","Rivero","2394","663903","0","San Felices de Buelna","-4.05024996","39069","-4º3'0.899856"""
"5984","40º50'56.274576""","37544","san-felices-de-los-gallegos-id37285","40.84896516","658","San Felices de los Gallegos","461","673701","0","San Felices de los Gallegos","-6.70892391","37285","-6º42'32.126076"""
"5985","36º27'55.029924""","11300","san-fernando-id11031","36.46528609","25","San Fernando","96335","611103","1","San Fernando","-6.20514669","11031","-6º12'18.528084"""
"5986","40º25'31.170756""","28630","san-fernando-de-henares-id28130","40.42532521","585","San Fernando de Henares","40781","722802","0","San Fernando de Henares","-3.53500587","28130","-3º32'6.021132"""
"5987","38º6'44.01954""","03570","san-fulgencio-id03118","38.11222765","4","San Fulgencio","9237","770303","0","San Fulgencio","-0.71879025","03118","-0º43'7.6449"""
"5988","40º46'11.75322""","05594","san-garcia-de-ingelmos-id05209","40.76993145","1066","San García de Ingelmos","86","670502","0","San García de Ingelmos","-5.11618039","05209","-5º6'58.249404"""
"5989","38º10'16.43826""","03572","san-isidro-id03904","38.17123285","10","San Isidro","1891","770303","0","San Isidro","-0.83836588","03904","-0º50'18.117168"""
"5990","37º48'21.761064""","30340","san-javier-id30035","37.80604474","29","San Javier","31988","733005","1","San Javier","-0.83472964","30035","-0º50'5.026704"""
"5991","36º36'19.234512""","11305","san-jose-del-valle-id11902","36.60534292","142","San José del Valle","4457","611102","0","San José del Valle","-5.80077309","11902","-5º48'2.783124"""
"5992","37º21'57.048084""","41430","san-juan-de-aznalfarache-id41086","37.36584669","44","San Juan de Aznalfarache","21576","614102","1","San Juan de Aznalfarache","-6.02715361","41086","-6º1'37.752996"""
"5993","40º21'38.06208""","05597","san-juan-de-gredos-navacepeda-de-tormes-id05901","40.36057280","1348","Navacepeda de Tormes","287","670502","0","San Juan de Gredos","-5.25149602","05901","-5º15'5.385672"""
"5994","42º35'14.35524""","22660","san-juan-de-plan-id22207","42.58732090","1118","San Juan de Plan","147","622201","0","San Juan de Plan","0.34450925","22207","0º20'40.2333"""
"5995","40º49'43.746384""","05600","san-juan-de-la-encinilla-id05210","40.82881844","910","San Juan de la Encinilla","100","670501","0","San Juan de la Encinilla","-4.83969097","05210","-4º50'22.887492"""
"5996","40º28'41.687364""","05603","san-juan-de-la-nava-id05211","40.47824649","1117","San Juan de la Nava","522","670502","0","San Juan de la Nava","-4.68397122","05211","-4º41'2.296392"""
"5997","28º23'36.018276""","38350","san-juan-de-la-rambla-san-jose-id38034","28.39333841","95","San José","5053","659601","0","San Juan de la Rambla","-16.64600500","38034","-16º38'45.618"""
"5998","40º27'32.137452""","05606","san-juan-del-molinillo-id05212","40.45892707","1140","San Juan del Molinillo","244","670502","0","San Juan del Molinillo","-4.81925634","05212","-4º49'9.322824"""
"5999","41º41'3.840288""","09616","san-juan-del-monte-id09337","41.68440008","840","San Juan del Monte","149","670904","0","San Juan del Monte","-3.52130631","09337","-3º31'16.702716"""
"6000","40º39'11.42352""","05609","san-juan-del-olmo-id05213","40.65317320","1282","San Juan del Olmo","117","670502","0","San Juan del Olmo","-5.05025004","05213","-5º3'0.900144"""
"6001","37º18'55.785888""","21630","san-juan-del-puerto-id21064","37.31549608","6","San Juan del Puerto","8743","612102","1","San Juan del Puerto","-6.84116392","21064","-6º50'28.190112"""
"6002","42º8'0.728556""","49528","san-justo-id49189","42.13353571","1061","San Justo","246","674901","0","San Justo","-6.62391271","49189","-6º37'26.085756"""
"6003","42º27'9.225792""","24568","san-justo-de-la-vega-id24148","42.45256272","847","San Justo de la Vega","1986","672403","0","San Justo de la Vega","-6.01599098","24148","-6º0'57.567528"""
"6004","41º49'45.499008""","42690","san-leonardo-de-yague-id42164","41.82930528","1034","San Leonardo de Yagüe","2219","674201","1","San Leonardo de Yagüe","-3.06674151","42164","-3º4'0.269436"""
